Date,Open,High,Low,Close,Volume,Adj Close
2013-09-19,89.379997,89.940002,88.900002,89.650002,1279800,84.490873
2013-09-20,89.620003,89.709999,88.099998,88.150002,1688900,83.077194
2013-09-23,88.059998,88.610001,87.610001,87.910004,1293700,82.851007
2013-09-24,87.849998,88.330002,87.769997,87.93,1536000,82.869853
2013-09-25,88.040001,88.160004,87.580002,87.739998,1288100,82.690785
2013-09-26,87.68,88.459999,87.57,88.25,823300,83.171438
2013-09-27,87.900002,88.379997,87.730003,88.290001,1126100,83.209136
2013-09-30,86.25,87.910004,86.169998,87.519997,1695600,82.483444
2013-10-01,87.449997,88.489998,87.440002,88.480003,1127400,83.388205
2013-10-02,88.040001,88.040001,86.669998,87.510002,1303300,82.474025
2013-10-03,87.459999,87.459999,85.190002,85.980003,1472700,81.032073
2013-10-04,85.870003,86.279999,85.410004,85.910004,911400,80.966102
2013-10-07,85.360001,86.809998,85.25,86.169998,1232400,81.211135
2013-10-08,86.309998,86.489998,84.919998,84.970001,1491300,80.080194
2013-10-09,84.519997,84.900002,83.610001,84.279999,1513200,79.956858
2013-10-10,85.029999,87.410004,84.949997,87.410004,1765800,82.926309
2013-10-11,87.410004,87.769997,87.139999,87.760002,963500,83.258354
2013-10-14,87.129997,87.940002,86.790001,87.809998,709500,83.305785
2013-10-15,87.889999,88.0,86.510002,86.849998,787900,82.395029
2013-10-16,87.160004,87.629997,86.940002,87.550003,1025000,83.059127
2013-10-17,87.470001,88.5,87.18,88.379997,801400,83.846547
2013-10-18,88.470001,88.550003,87.919998,88.400002,1360300,83.865525
2013-10-21,88.599998,88.739998,87.93,88.0,1980300,83.486042
2013-10-22,88.449997,88.690002,87.989998,88.160004,2098200,83.637838
2013-10-23,88.889999,88.980003,85.830002,86.230003,2410100,81.806837
2013-10-24,86.199997,87.150002,85.790001,87.120003,2036300,82.651184
2013-10-25,86.919998,88.300003,86.550003,88.260002,1907600,83.732707
2013-10-28,88.110001,88.160004,87.339996,87.650002,1750100,83.153996
2013-10-29,87.82,87.919998,87.099998,87.879997,1762700,83.372194
2013-10-30,88.089996,88.449997,86.349998,86.489998,2055100,82.053495
2013-10-31,86.620003,86.93,86.129997,86.629997,1446800,82.186313
2013-11-01,86.849998,87.730003,86.660004,87.150002,877700,82.679644
2013-11-04,87.459999,87.57,86.959999,87.080002,800900,82.613235
2013-11-05,87.050003,87.540001,86.760002,87.099998,1081500,82.632206
2013-11-06,87.589996,87.849998,87.199997,87.669998,1192200,83.172967
2013-11-07,87.709999,87.989998,86.739998,86.800003,1349900,82.347598
2013-11-08,86.760002,87.459999,86.589996,87.199997,1427900,82.727075
2013-11-11,87.220001,87.309998,87.040001,87.169998,989400,82.698615
2013-11-12,86.760002,87.25,86.639999,86.730003,1014000,82.281189
2013-11-13,86.510002,87.150002,86.360001,87.080002,1846200,82.613235
2013-11-14,87.5,87.940002,87.209999,87.940002,2238800,83.429122
2013-11-15,87.82,88.779999,87.290001,88.709999,1588600,84.159621
2013-11-18,89.0,89.93,88.910004,89.300003,1407500,84.719361
2013-11-19,89.169998,89.93,89.050003,89.809998,1796600,85.203195
2013-11-20,89.900002,90.419998,89.300003,89.620003,1688900,85.022946
2013-11-21,90.0,91.160004,89.830002,91.099998,1796900,86.427026
2013-11-22,90.940002,92.220001,90.720001,92.150002,1538400,87.423169
2013-11-25,92.309998,92.489998,91.300003,91.68,1122900,86.977276
2013-11-26,91.720001,92.290001,91.690002,91.919998,1004700,87.204963
2013-11-27,91.989998,92.75,91.919998,92.269997,886300,87.537009
2013-11-29,92.330002,92.5,91.57,91.660004,776200,86.958305
2013-12-02,91.400002,92.080002,91.019997,91.220001,1136900,86.540873
2013-12-03,91.089996,91.360001,90.019997,90.339996,1198600,85.706008
2013-12-04,90.0,90.769997,88.849998,89.480003,1597700,84.890128
2013-12-05,89.279999,90.260002,89.099998,89.230003,882000,84.652952
2013-12-06,90.059998,90.790001,89.779999,90.790001,1042700,86.132929
2013-12-09,90.889999,90.980003,90.410004,90.529999,690200,85.886264
2013-12-10,90.230003,90.959999,89.989998,90.550003,893000,85.905242
2013-12-11,90.739998,90.900002,89.18,89.699997,1924600,85.098837
2013-12-12,89.470001,90.099998,89.410004,89.889999,1141100,85.279093
2013-12-13,89.889999,90.620003,89.379997,90.260002,1178100,85.630117
2013-12-16,90.480003,91.339996,90.290001,90.919998,1200800,86.256258
2013-12-17,91.269997,91.5,91.010002,91.440002,1124200,86.749589
2013-12-18,91.400002,93.610001,91.010002,93.550003,1926800,88.751357
2013-12-19,92.949997,93.129997,92.050003,92.660004,1365600,87.90701
2013-12-20,92.639999,93.910004,92.639999,93.370003,1832100,88.58059
2013-12-23,93.849998,93.910004,93.010002,93.18,1019500,88.400334
2013-12-24,93.32,93.769997,93.139999,93.769997,358400,88.960066
2013-12-26,93.949997,94.940002,93.949997,94.839996,786800,89.97518
2013-12-27,94.489998,95.040001,94.449997,95.0,944600,90.126977
2013-12-30,94.970001,95.099998,94.660004,95.099998,1015100,90.221846
2013-12-31,94.739998,95.760002,94.360001,95.550003,1078900,90.648767
2014-01-02,94.849998,95.529999,94.540001,94.75,1816400,89.8898
2014-01-03,94.760002,95.370003,94.339996,94.739998,1045600,89.880311
2014-01-06,94.949997,95.269997,94.029999,94.459999,1581900,89.614675
2014-01-07,94.699997,95.660004,94.669998,95.260002,1470800,90.373642
2014-01-08,95.160004,95.300003,94.199997,94.720001,1842200,89.86134
2014-01-09,95.019997,95.970001,94.989998,95.230003,1848500,90.345182
2014-01-10,95.599998,95.639999,94.529999,95.099998,1459900,90.221846
2014-01-13,94.889999,96.279999,94.699997,95.010002,1846500,90.136466
2014-01-14,95.440002,95.959999,95.0,95.959999,1659900,91.037733
2014-01-15,95.230003,96.650002,94.93,95.589996,2668300,91.219042
2014-01-16,95.449997,95.830002,95.18,95.400002,777300,91.037735
2014-01-17,95.400002,95.919998,95.330002,95.470001,1748500,91.104534
2014-01-21,95.839996,96.870003,95.209999,95.300003,1673100,90.942309
2014-01-22,96.120003,100.599998,93.849998,99.650002,5421000,95.093399
2014-01-23,99.959999,101.800003,99.93,101.550003,3070600,96.906521
2014-01-24,100.040001,100.209999,98.099998,98.309998,3503500,93.814669
2014-01-27,97.860001,100.370003,97.860001,99.949997,3145800,95.379677
2014-01-28,100.019997,101.730003,100.019997,100.5,3568800,95.904531
2014-01-29,99.779999,99.989998,98.43,99.010002,2536200,94.482665
2014-01-30,99.139999,100.709999,99.110001,100.489998,2363900,95.894986
2014-01-31,99.209999,102.18,98.830002,101.309998,3304200,96.67749
2014-02-03,101.0,101.769997,98.400002,98.470001,2721800,93.967356
2014-02-04,100.82,101.589996,98.75,99.68,7819300,95.122027
2014-02-05,99.260002,99.839996,97.580002,98.879997,4055600,94.358604
2014-02-06,100.150002,101.589996,99.620003,101.220001,3383200,96.591609
2014-02-07,101.870003,104.580002,101.510002,104.190002,3158900,99.425804
2014-02-10,103.199997,103.639999,102.440002,102.510002,2759600,97.822624
2014-02-11,102.760002,103.75,102.559998,103.220001,1949100,98.500157
2014-02-12,103.290001,103.809998,103.040001,103.660004,2008900,98.92004
2014-02-13,103.040001,104.010002,102.900002,103.730003,1629500,98.986839
2014-02-14,103.620003,106.449997,103.220001,106.349998,2579600,101.487032
2014-02-18,106.080002,107.220001,105.580002,106.769997,2246800,101.887825
2014-02-19,106.330002,107.25,105.050003,105.260002,2762400,100.446877
2014-02-20,105.650002,108.0,105.529999,107.75,2377000,102.823017
2014-02-21,108.07,108.209999,107.059998,107.449997,2426000,102.536732
2014-02-24,107.269997,109.57,107.0,108.760002,2642400,103.786836
2014-02-25,108.610001,109.260002,107.980003,108.269997,2090400,103.319236
2014-02-26,108.239998,108.699997,107.389999,108.029999,2137700,103.090212
2014-02-27,107.980003,109.040001,107.410004,108.980003,1894100,103.996777
2014-02-28,109.040001,110.25,108.790001,109.540001,2282300,104.531168
2014-03-03,108.059998,110.980003,107.730003,110.610001,3125000,105.552241
2014-03-04,111.129997,113.57,111.099998,112.660004,3641800,107.508505
2014-03-05,112.400002,113.099998,111.690002,111.839996,2236800,106.725994
2014-03-06,110.809998,112.129997,110.720001,111.449997,2589700,106.353828
2014-03-07,110.830002,112.089996,110.620003,111.489998,2642300,106.391999
2014-03-10,110.519997,111.279999,110.010002,110.410004,2191300,105.361389
2014-03-11,109.839996,110.629997,108.919998,108.989998,1905200,104.006315
2014-03-12,108.5,109.459999,108.040001,109.379997,1793500,104.378481
2014-03-13,109.580002,110.32,107.300003,107.989998,3006200,103.052041
2014-03-14,107.849998,108.470001,107.209999,107.629997,2445400,102.708501
2014-03-17,106.360001,108.919998,106.290001,108.410004,1756700,103.452841
2014-03-18,108.889999,109.639999,108.68,109.400002,2034200,104.39757
2014-03-19,109.660004,110.330002,107.480003,108.019997,2185600,103.080668
2014-03-20,107.949997,108.379997,106.870003,107.25,2057300,102.34588
2014-03-21,108.279999,108.440002,107.040001,107.080002,5152100,102.183655
2014-03-24,107.5,107.959999,105.660004,106.580002,2191600,101.706518
2014-03-25,107.129997,108.519997,106.809998,107.650002,1850800,102.727591
2014-03-26,108.190002,108.82,106.660004,106.660004,2073500,101.782862
2014-03-27,106.199997,107.230003,105.5,106.370003,1893000,101.506122
2014-03-28,106.43,108.080002,106.379997,107.699997,1505700,102.7753
2014-03-31,108.5,109.18,108.190002,108.919998,1713500,103.939516
2014-04-01,109.160004,109.739998,108.660004,109.68,1441100,104.664766
2014-04-02,109.769997,111.209999,109.75,110.610001,1672500,105.552241
2014-04-03,110.959999,111.32,110.199997,110.889999,1199100,105.819437
2014-04-04,111.349998,111.830002,108.010002,108.290001,2052000,103.338326
2014-04-07,108.290001,109.25,107.139999,107.650002,2338300,102.727591
2014-04-08,107.650002,108.0,106.099998,106.379997,2403500,101.515659
2014-04-09,106.150002,108.18,106.050003,108.040001,1695400,103.70416
2014-04-10,108.269997,108.699997,105.650002,105.709999,1453700,101.467666
2014-04-11,105.370003,106.139999,104.940002,104.989998,1447800,100.776559
2014-04-14,105.410004,106.019997,104.220001,105.129997,1718200,100.91094
2014-04-15,105.449997,106.919998,104.699997,106.699997,1709900,102.417933
2014-04-16,107.449997,108.190002,106.690002,108.18,1194800,103.838541
2014-04-17,108.43,109.489998,107.610001,109.059998,1556800,104.683223
2014-04-21,109.190002,109.599998,108.419998,109.300003,1280000,104.913596
2014-04-22,109.360001,109.910004,108.010002,108.040001,2020900,103.70416
2014-04-23,108.370003,112.099998,106.540001,111.580002,2264700,107.102095
2014-04-24,111.800003,111.989998,109.919998,110.419998,2016700,105.988644
2014-04-25,110.0,110.389999,108.730003,109.010002,1258400,104.635234
2014-04-28,109.870003,109.910004,106.580002,107.389999,2644200,103.080245
2014-04-29,108.540001,109.080002,108.129997,108.260002,2801700,103.915333
2014-04-30,108.379997,109.900002,107.839996,109.449997,2409100,105.057571
2014-05-01,109.510002,110.790001,109.18,109.769997,1880500,105.364728
2014-05-02,109.970001,111.690002,109.709999,111.010002,2124700,106.55497
2014-05-05,110.599998,111.989998,110.410004,111.879997,2117800,107.390051
2014-05-06,111.339996,112.230003,111.169998,111.720001,1795200,107.236476
2014-05-07,112.0,112.370003,111.209999,111.959999,2503700,107.466842
2014-05-08,111.970001,112.559998,111.43,111.93,2128800,107.438047
2014-05-09,111.860001,112.790001,111.080002,112.790001,2129900,108.263534
2014-05-12,113.0,114.940002,112.93,114.849998,2412000,110.24086
2014-05-13,115.0,115.959999,114.75,115.290001,2225400,110.663205
2014-05-14,115.339996,115.870003,114.57,114.660004,1958600,110.05849
2014-05-15,114.559998,114.830002,113.089996,113.220001,2110100,108.676278
2014-05-16,113.32,113.699997,112.43,113.559998,2534700,109.00263
2014-05-19,112.93,115.0,112.82,114.82,2027800,110.212066
2014-05-20,114.040001,114.559998,112.629997,113.080002,1853500,108.541897
2014-05-21,113.279999,114.730003,113.260002,114.650002,1550800,110.04889
2014-05-22,114.699997,115.239998,114.309998,114.980003,1313200,110.365648
2014-05-23,115.029999,115.879997,114.980003,115.489998,1472100,110.855176
2014-05-27,115.75,116.480003,115.489998,116.349998,1151600,111.680663
2014-05-28,116.07,117.75,115.559998,117.559998,2146700,112.842102
2014-05-29,117.529999,118.190002,116.830002,117.970001,1893300,113.235652
2014-05-30,117.699997,118.220001,116.970001,118.120003,1870900,113.379634
2014-06-02,118.110001,118.480003,117.629997,118.019997,1508700,113.283641
2014-06-03,117.0,118.760002,117.0,118.360001,2090900,113.61
2014-06-04,118.32,118.660004,117.860001,118.360001,1512700,113.61
2014-06-05,118.75,120.910004,118.669998,120.889999,1969200,116.038465
2014-06-06,120.769997,121.540001,120.480003,120.830002,1871600,115.980875
2014-06-09,121.0,121.68,120.290001,120.620003,2245200,115.779304
2014-06-10,120.550003,121.089996,119.989998,120.82,1586000,115.971275
2014-06-11,120.32,120.739998,119.610001,119.870003,1578200,115.059403
2014-06-12,119.769997,120.07,118.120003,118.459999,1049300,113.705985
2014-06-13,118.760002,119.57,118.260002,119.139999,956500,114.358696
2014-06-16,118.900002,119.709999,118.699997,119.199997,1251200,114.416286
2014-06-17,119.260002,119.379997,118.190002,119.099998,1197900,114.3203
2014-06-18,119.32,119.790001,118.459999,119.639999,926500,114.83863
2014-06-19,119.660004,120.169998,118.980003,120.040001,1256800,115.222579
2014-06-20,119.699997,120.099998,119.440002,119.550003,2210200,114.752245
2014-06-23,119.82,119.82,118.43,118.739998,1193200,113.974747
2014-06-24,118.110001,118.849998,116.629997,116.690002,1483400,112.007022
2014-06-25,116.699997,117.410004,116.199997,117.220001,1215900,112.515751
2014-06-26,117.290001,117.370003,116.160004,116.980003,909200,112.285384
2014-06-27,116.779999,117.75,116.75,117.5,1522400,112.784513
2014-06-30,117.410004,117.559998,116.379997,116.550003,1231500,111.872641
2014-07-01,115.169998,117.07,114.660004,116.449997,2174100,112.374438
2014-07-02,116.190002,116.449997,115.129997,115.5,1484300,111.45769
2014-07-03,116.050003,116.519997,115.75,116.019997,888900,111.959487
2014-07-07,116.169998,116.230003,115.339996,115.75,1392000,111.69894
2014-07-08,115.669998,115.75,114.32,114.800003,1316300,110.782192
2014-07-09,115.0,115.68,114.529999,115.620003,1094800,111.573493
2014-07-10,114.07,116.120003,114.040001,115.529999,1173200,111.486639
2014-07-11,115.669998,117.019997,115.309998,116.849998,1513300,112.76044
2014-07-14,117.089996,117.449997,116.410004,116.68,1556900,112.596392
2014-07-15,116.889999,118.099998,116.870003,117.510002,1596700,113.397345
2014-07-16,117.959999,118.150002,117.150002,117.510002,798800,113.397345
2014-07-17,117.059998,117.550003,116.050003,116.099998,795800,112.036689
2014-07-18,116.650002,117.879997,116.510002,117.639999,1424900,113.522793
2014-07-21,117.480003,118.470001,117.099998,118.349998,828500,114.207943
2014-07-22,118.709999,119.139999,118.349998,118.550003,1382700,114.400948
2014-07-23,120.349998,121.110001,119.110001,120.730003,2915400,116.504652
2014-07-24,120.720001,121.93,120.650002,121.480003,2182100,117.228403
2014-07-25,120.959999,122.169998,120.860001,121.139999,1220600,116.900298
2014-07-28,120.709999,121.110001,119.709999,120.480003,1239300,116.263401
2014-07-29,120.480003,120.709999,119.18,119.18,990000,115.008896
2014-07-30,119.230003,119.980003,118.550003,119.209999,1184200,115.037845
2014-07-31,118.330002,118.870003,116.449997,116.769997,2168100,112.683239
2014-08-01,116.419998,118.080002,116.419998,117.379997,1540200,113.27189
2014-08-04,117.379997,117.599998,115.910004,117.230003,1814900,113.127146
2014-08-05,117.0,118.5,116.160004,116.349998,1914300,112.27794
2014-08-06,115.559998,115.989998,114.599998,114.75,1826600,110.733939
2014-08-07,114.739998,116.099998,114.099998,114.389999,1566300,110.386537
2014-08-08,114.599998,117.290001,114.599998,117.160004,1873500,113.059596
2014-08-11,117.860001,118.510002,117.419998,117.82,1139000,113.696493
2014-08-12,117.720001,118.599998,116.860001,117.220001,936800,113.117494
2014-08-13,117.849998,119.300003,117.639999,119.120003,921100,114.950998
2014-08-14,119.349998,119.93,119.050003,119.120003,966000,114.950998
2014-08-15,119.550003,120.0,118.550003,119.339996,1879600,115.163293
2014-08-18,120.199997,121.489998,120.169998,121.18,1079400,116.938899
2014-08-19,121.400002,121.980003,121.300003,121.809998,1054800,117.546848
2014-08-20,121.650002,123.75,121.489998,123.480003,1220800,119.158406
2014-08-21,123.470001,124.25,123.129997,123.68,1254700,119.351403
2014-08-22,123.669998,124.379997,123.120003,123.849998,1121600,119.515452
2014-08-25,124.190002,124.849998,123.629997,124.419998,1167900,120.065503
2014-08-26,124.660004,124.889999,124.260002,124.400002,760300,120.046206
2014-08-27,124.599998,124.760002,123.68,123.989998,878500,119.650552
2014-08-28,123.699997,123.790001,122.940002,123.389999,1083900,119.071552
2014-08-29,123.050003,123.599998,122.639999,123.25,1140600,118.936452
2014-09-02,123.349998,123.839996,122.540001,122.660004,1711300,118.367105
2014-09-03,123.550003,124.980003,123.470001,124.93,2142800,120.557656
2014-09-04,124.949997,126.220001,124.510002,124.699997,1493000,120.335702
2014-09-05,124.730003,125.5,123.559998,125.449997,1459800,121.059453
2014-09-08,125.260002,126.449997,125.040001,125.769997,1479400,121.368253
2014-09-09,125.769997,127.019997,125.720001,126.260002,1607800,121.841109
2014-09-10,126.129997,127.690002,126.029999,127.419998,1203000,122.960508
2014-09-11,127.089996,127.199997,126.339996,126.620003,1241800,122.188511
2014-09-12,126.610001,126.690002,125.800003,126.400002,1027200,121.976209
2014-09-15,126.339996,127.129997,125.779999,126.849998,1099300,122.410457
2014-09-16,126.599998,128.339996,126.18,127.75,1253000,123.27896
2014-09-17,128.0,128.899994,127.330002,128.240005,985100,123.751816
2014-09-18,128.600006,129.429993,128.559998,129.279999,1122600,124.755411
2014-09-19,130.0,130.169998,129.009995,129.449997,2467400,124.91946
2014-09-22,129.270004,129.380005,127.889999,128.020004,1155900,123.539514
2014-09-23,127.620003,128.029999,125.879997,125.970001,1603700,121.561258
2014-09-24,126.139999,127.199997,125.900002,126.980003,1289300,122.535912
2014-09-25,126.870003,127.0,124.699997,125.010002,1431100,120.634857
2014-09-26,125.470001,127.949997,125.239998,127.699997,1569300,123.230707
2014-09-29,126.800003,128.479996,126.589996,127.489998,1303600,123.028057
2014-09-30,127.5,128.389999,126.889999,127.089996,1820500,122.642055
2014-10-01,126.169998,126.220001,124.110001,124.290001,1929300,119.940055
2014-10-02,123.080002,123.650002,120.559998,121.800003,5747200,117.537203
2014-10-03,122.620003,123.790001,122.43,123.540001,2679800,119.216304
2014-10-06,124.160004,124.919998,122.389999,123.110001,1493700,118.801353
2014-10-07,122.800003,122.949997,120.660004,120.690002,1783700,116.466051
2014-10-08,120.269997,123.32,119.540001,123.150002,1767100,119.453604
2014-10-09,123.190002,123.360001,120.959999,121.5,2090900,117.853128
2014-10-10,121.669998,122.449997,120.550003,121.220001,2437300,117.581533
2014-10-13,122.190002,123.089996,118.160004,118.269997,2319600,114.720074
2014-10-14,118.529999,120.150002,118.129997,118.610001,2469000,115.049873
2014-10-15,117.599998,118.669998,114.730003,117.980003,2292700,114.438785
2014-10-16,115.989998,118.639999,115.629997,117.849998,2157100,114.312683
2014-10-17,119.010002,121.5,119.010002,120.870003,1929900,117.24204
2014-10-20,120.510002,121.349998,120.279999,121.300003,1114000,117.659134
2014-10-21,121.190002,124.190002,121.190002,123.889999,1781000,120.17139
2014-10-22,127.18,128.220001,125.589996,126.309998,2620900,122.518751
2014-10-23,128.589996,131.440002,128.470001,130.339996,2192400,126.427788
2014-10-24,130.339996,132.539993,129.860001,132.5,1407800,128.522958
2014-10-27,132.330002,133.289993,131.839996,133.089996,1988500,129.095246
2014-10-28,133.800003,136.600006,133.740005,136.600006,2041100,132.499901
2014-10-29,136.419998,136.919998,135.600006,136.449997,1828900,132.354394
2014-10-30,135.559998,139.020004,134.669998,138.289993,2275000,134.139163
2014-10-31,139.789993,140.779999,138.630005,139.759995,2758600,135.565041
2014-11-03,139.759995,140.419998,138.720001,139.720001,2339100,135.526248
2014-11-04,139.649994,140.889999,139.300003,140.789993,1965200,136.564124
2014-11-05,141.139999,142.380005,140.270004,141.949997,1916200,137.68931
2014-11-06,142.0,142.570007,141.360001,141.559998,1490900,137.311016
2014-11-07,141.5,141.729996,139.729996,140.139999,1994800,135.93364
2014-11-10,140.300003,141.470001,139.919998,140.820007,1762500,136.593237
2014-11-11,141.050003,142.119995,141.009995,141.300003,1276600,137.058826
2014-11-12,140.880005,141.649994,140.710007,141.300003,1226700,137.058826
2014-11-13,140.979996,143.5,140.889999,142.710007,1977400,138.426507
2014-11-14,142.610001,143.419998,141.550003,142.660004,1768500,138.378005
2014-11-17,142.210007,142.940002,141.699997,142.050003,1298600,137.786314
2014-11-18,142.240005,144.699997,141.929993,143.929993,1349000,139.609875
2014-11-19,143.509995,143.639999,142.470001,143.369995,1069700,139.066686
2014-11-20,142.759995,143.929993,141.970001,143.75,1103000,139.435285
2014-11-21,145.350006,145.720001,144.270004,144.589996,1404900,140.250068
2014-11-24,145.089996,145.919998,144.639999,144.880005,1631900,140.531372
2014-11-25,145.399994,145.440002,144.559998,144.600006,1614600,140.259778
2014-11-26,144.899994,145.050003,144.389999,144.529999,1552800,140.191872
2014-11-28,145.309998,146.130005,145.029999,145.360001,840100,140.996961
2014-12-01,145.0,145.199997,143.699997,143.759995,1823400,139.444979
2014-12-02,144.089996,144.639999,143.869995,144.220001,1441500,139.891179
2014-12-03,144.75,145.389999,144.330002,145.130005,1980500,140.773868
2014-12-04,145.320007,145.320007,144.100006,144.880005,1365300,140.531372
2014-12-05,145.0,145.5,144.720001,145.149994,1812400,140.793257
2014-12-08,145.25,145.630005,144.300003,144.960007,2135500,140.608973
2014-12-09,143.559998,145.649994,142.940002,145.020004,1850400,140.66717
2014-12-10,144.660004,144.830002,140.940002,141.139999,1993800,136.903625
2014-12-11,141.759995,143.350006,141.669998,142.399994,1599700,138.1258
2014-12-12,141.009995,141.289993,137.339996,137.410004,2988700,133.285586
2014-12-15,137.669998,138.600006,135.490005,135.610001,2468200,131.539611
2014-12-16,135.429993,138.949997,135.050003,136.399994,2210100,132.305892
2014-12-17,136.600006,137.869995,135.479996,137.229996,1954400,133.110981
2014-12-18,138.720001,140.25,138.720001,139.820007,3154500,135.623253
2014-12-19,140.119995,140.839996,139.75,139.830002,4035600,135.632947
2014-12-22,140.679993,142.009995,140.210007,141.399994,3251700,137.155815
2014-12-23,142.139999,142.380005,141.169998,141.309998,1553800,137.06852
2014-12-24,141.600006,142.050003,141.429993,141.539993,815300,137.291612
2014-12-26,141.929993,142.080002,141.300003,141.389999,570700,137.146121
2014-12-29,141.0,141.309998,140.229996,140.669998,985400,136.447731
2014-12-30,140.619995,140.729996,139.449997,139.630005,965900,135.438953
2014-12-31,139.199997,139.889999,137.509995,137.619995,1169400,133.489275
2015-01-02,138.470001,139.050003,137.160004,138.449997,1111700,134.294364
2015-01-05,137.960007,138.630005,135.380005,135.559998,1437100,131.491109
2015-01-06,135.779999,136.610001,134.179993,135.720001,2766800,131.64631
2015-01-07,135.789993,136.669998,134.970001,135.199997,2067200,131.141914
2015-01-08,136.130005,138.570007,135.970001,138.460007,3858400,134.304073
2015-01-09,138.369995,139.509995,137.380005,138.970001,3032700,134.79876
2015-01-12,139.589996,139.600006,137.529999,137.899994,1386200,133.760869
2015-01-13,139.509995,140.75,136.690002,137.789993,1722100,133.65417
2015-01-14,135.830002,137.820007,135.399994,137.350006,1258800,133.82957
2015-01-15,137.350006,138.479996,136.740005,137.710007,1481500,134.180344
2015-01-16,137.490005,139.149994,136.809998,139.070007,1681500,135.505486
2015-01-20,139.089996,139.889999,136.610001,138.089996,1761500,134.550594
2015-01-21,138.309998,139.339996,137.809998,138.889999,1197900,135.330092
2015-01-22,139.419998,141.559998,138.460007,141.210007,1311200,137.590635
2015-01-23,141.160004,142.410004,140.330002,141.320007,895600,137.697816
2015-01-26,141.130005,141.130005,139.509995,140.059998,1223300,136.470102
2015-01-27,138.330002,138.75,137.050003,137.199997,1590100,133.683406
2015-01-28,139.0,141.919998,136.130005,136.399994,2764700,132.903908
2015-01-29,136.320007,136.839996,133.039993,134.479996,3132600,131.033122
2015-01-30,132.830002,135.110001,132.630005,133.210007,3479800,129.795684
2015-02-02,133.889999,136.490005,132.5,136.119995,2031000,132.631086
2015-02-03,136.899994,139.100006,136.470001,138.949997,1893100,135.388552
2015-02-04,138.75,139.869995,138.259995,138.529999,1500500,134.979318
2015-02-05,138.559998,139.199997,138.020004,138.690002,1399500,135.135221
2015-02-06,138.690002,140.350006,138.300003,139.289993,1417700,135.719833
2015-02-09,138.649994,139.259995,136.630005,136.940002,1902100,133.430075
2015-02-10,138.729996,138.729996,136.699997,138.160004,1361300,134.618807
2015-02-11,138.089996,138.240005,136.320007,137.210007,1297400,133.693159
2015-02-12,137.270004,138.550003,137.059998,138.149994,860900,134.609053
2015-02-13,137.699997,138.199997,136.970001,137.610001,1361700,134.082901
2015-02-17,137.309998,138.259995,136.259995,138.050003,1242400,134.511626
2015-02-18,137.740005,138.899994,137.639999,138.660004,755200,135.105991
2015-02-19,138.339996,139.919998,138.009995,139.509995,741900,135.934196
2015-02-20,139.320007,142.550003,139.039993,142.240005,1341200,138.594233
2015-02-23,141.740005,142.050003,140.770004,141.259995,747400,137.639341
2015-02-24,140.880005,142.059998,140.820007,141.679993,764100,138.048574
2015-02-25,141.679993,141.679993,139.979996,140.139999,735300,136.548053
2015-02-26,140.199997,140.639999,139.0,139.429993,1059500,135.856244
2015-02-27,139.059998,139.539993,138.729996,138.779999,1267800,135.222911
2015-03-02,138.779999,140.619995,138.779999,139.800003,1278200,136.216771
2015-03-03,139.119995,139.169998,136.350006,137.089996,1513400,133.576225
2015-03-04,136.529999,137.529999,136.029999,136.25,1866600,132.757759
2015-03-05,136.210007,137.279999,135.740005,136.429993,1660500,132.933138
2015-03-06,135.660004,136.210007,134.479996,134.600006,1393100,131.150056
2015-03-09,134.369995,136.559998,134.070007,135.919998,1115300,132.436215
2015-03-10,134.509995,134.990005,132.630005,132.690002,1997000,129.289008
2015-03-11,133.449997,133.770004,132.070007,132.300003,1495100,128.909005
2015-03-12,132.539993,134.070007,132.539993,133.669998,1520000,130.243885
2015-03-13,133.539993,134.850006,131.330002,132.190002,1627300,128.801823
2015-03-16,132.940002,135.020004,132.809998,134.970001,1899800,131.510568
2015-03-17,134.270004,134.550003,133.399994,134.130005,1171200,130.692101
2015-03-18,133.5,136.289993,132.449997,136.119995,2032800,132.631086
2015-03-19,135.559998,136.270004,135.020004,135.279999,1628500,131.81262
2015-03-20,135.600006,137.300003,134.899994,135.410004,5233200,131.939292
2015-03-23,136.449997,137.029999,135.830002,135.880005,1596600,132.397247
2015-03-24,135.839996,137.169998,135.119995,135.199997,1435100,131.734668
2015-03-25,135.880005,136.529999,133.669998,133.759995,1803500,130.331575
2015-03-26,132.990005,135.050003,132.279999,134.529999,1856200,131.081843
2015-03-27,134.350006,135.320007,134.139999,135.039993,945700,131.578766
2015-03-30,135.660004,138.050003,135.179993,137.509995,1099100,133.985458
2015-03-31,136.479996,137.0,135.669998,135.729996,1286400,132.251083
2015-04-01,135.070007,135.139999,132.679993,133.979996,1131400,130.545937
2015-04-02,134.089996,135.179993,133.619995,133.729996,815200,130.302345
2015-04-06,133.259995,136.080002,133.009995,135.509995,1112100,132.03672
2015-04-07,135.800003,136.210007,134.949997,135.0,1610600,131.539797
2015-04-08,134.199997,135.710007,134.199997,135.240005,1157500,132.450617
2015-04-09,135.289993,136.550003,134.710007,135.779999,845000,132.979472
2015-04-10,136.220001,136.820007,135.550003,135.910004,1028100,133.106796
2015-04-13,135.639999,136.399994,134.550003,134.770004,754100,131.990309
2015-04-14,134.649994,134.770004,132.139999,133.100006,1486400,130.354756
